Date,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,BHARTIARTL.NS,HDFCBANK.NS,SBIN.NS,TCS.NS,VEDL.NS,BHARTIARTL.NS,HDFCBANK.NS,SBIN.NS,TCS.NS,VEDL.NS,BHARTIARTL.NS,HDFCBANK.NS,SBIN.NS,TCS.NS,VEDL.NS,BHARTIARTL.NS,HDFCBANK.NS,SBIN.NS,TCS.NS,VEDL.NS,BHARTIARTL.NS,HDFCBANK.NS,SBIN.NS,TCS.NS,VEDL.NS
2015-01-01,310.64898681640625,440.3433837890625,285.5004577636719,1046.950927734375,71.52506256103516,312.36102906790757,441.43032574697327,286.4096948903078,1055.7730077754215,71.67186329022694,301.01879625352547,437.1057347936888,282.49998634485945,1045.0795530803841,69.22516787764877,303.37284347969035,439.8577420857682,284.0911513164723,1055.7730077754215,69.7145069601644,2460188,1772470,6138488,366830,2304326
2015-01-02,312.48944091796875,446.4718017578125,286.63702392578125,1060.8939208984375,72.52005004882812,314.1586712705514,448.32188694336656,289.4101862540494,1065.6237200111473,73.22143404719641,309.8785800653861,439.58025137965956,285.81871600495765,1049.028354675828,71.55768422159689,311.41940362381126,439.58025137965956,285.81871600495765,1049.19282926284,71.55768422159689,2795887,2950192,9935094,925740,3270358
2015-01-05,305.5556640625,442.7022705078125,284.3638916015625,1044.771484375,71.70447540283203,313.5166530790604,448.9000389466681,288.04629060954784,1069.3047063076851,73.49871839300484,304.4000609352254,441.7540792653598,283.77289305984687,1038.3553689593066,71.14989220143228,313.5166530790604,448.6456578794494,287.54622132372225,1061.5314245337565,72.58528460244503,1605267,2398000,9136716,1754242,3512083
2015-01-06,303.1589050292969,435.81072998046875,272.6801452636719,1006.2543334960938,68.19755554199219,304.8281357028914,442.4247794564735,282.86360981093134,1040.1854947810762,71.6066167086402,298.2367789067638,433.63687404959757,271.58907761427815,1003.5398004285684,67.44723464469868,304.8281357028914,441.24535569261576,281.86344365487236,1040.1854947810762,71.10096534451972,3916948,4109840,15329257,2423784,6095798
2015-01-07,303.886474609375,437.0826416015625,272.907470703125,994.3681030273438,68.1812515258789,306.45455275792165,440.01964065257516,275.0896338792415,1019.6416574848697,69.11099785599416,300.034415358025,433.0355801052517,268.3612858580031,990.1524132139366,66.59905302805188,301.27561351598473,434.63128428409493,272.7710907073134,1015.8784233283607,68.1812515258789,4899318,2873056,15046745,2636332,3410940
2015-01-08,309.1509704589844,446.26373291015625,277.180908203125,1005.1029052734375,68.67059326171875,310.69179396879605,448.16008746671463,278.6811437209221,1007.2415769837673,69.37197737754134,302.302801558196,438.56276903152235,274.9078156768532,995.5404852387815,67.05577508081856,305.21328783389674,441.36101767625235,277.317288205159,1004.5270433898401,68.93157513428594,7096620,4762912,8939749,1565408,3956233
2015-01-09,304.5713195800781,451.25897216796875,275.6806640625,1033.276123046875,67.78977966308594,312.3610916456975,453.2709287740733,279.9086104795802,1036.4018433126578,69.77975574219052,302.9876838033935,447.0731313130964,274.5895685849326,1007.6529284970109,67.3983093670174,310.30664053231135,449.987038439266,278.8629934997426,1009.709363044964,69.77975574219052,3831782,4492592,11953948,3197642,2842333
2015-01-12,298.7075500488281,447.2812194824219,279.2267150878906,1032.2060546875,67.28411865234375,304.4856821277556,450.6807679903808,279.8631644004373,1039.7326202407437,67.85501420454545,297.1239144935458,446.10179580825655,273.77129256353345,1020.0936832880161,66.63166659268467,304.4856821277556,448.36816148022916,276.54445458099616,1035.2084672254557,67.54510047177023,2276975,2063206,8536142,1596006,2641823
2015-01-13,296.4390869140625,445.56988525390625,277.4082336425781,1027.3533935546875,66.745849609375,301.57521379515987,449.54758539150106,282.5454175021658,1040.7202163241664,68.18124219068474,294.727073606096,442.03161422954395,276.54444733310817,1020.0325678750213,66.3217547628653,299.52076304272094,448.16002148467817,280.1813955873597,1036.442873202665,67.52879011230497,1604173,2914174,9484804,1468432,4640762
2015-01-14,296.0111083984375,445.8243103027344,277.04449462890625,1037.2447509765625,61.363136291503906,298.06555932307856,450.7964144778201,279.1357284005765,1041.295966222053,66.22390357776003,295.02669486669765,443.88171511854915,274.8168531240203,1028.422668979498,60.62912750800656,296.99555091591236,444.0435862880392,276.40801769959364,1034.7976145380592,65.89767745176121,3415213,1842616,8855660,1787096,10865065
2015-01-15,299.0499267578125,459.35302734375,291.2286071777344,1044.2984619140625,61.88507843017578,301.83200615907134,461.6887541964154,294.32003525208614,1061.8398055812443,62.7985123323916,293.87101729966645,448.9925392259109,285.5004250356578,1037.7795252959716,60.84115610384953,296.2678763422842,457.8960739980961,290.8649179183141,1041.7895720101837,61.49360818003022,4966049,5699238,30729523,5009920,7275654
2015-01-16,293.48583984375,463.14569091796875,286.81884765625,1041.439697265625,63.043190002441406,301.31839330262756,469.41287709610987,291.2286252910233,1046.7247721344436,63.5814610436778,290.27575699337825,461.85063692830084,284.68213497115704,1021.75968664959,61.982955241727645,297.03830215928645,463.5388509596931,290.9558652664215,1046.1900792804622,62.504918961205014,9779165,3910654,21598514,5293830,6323218
2015-01-19,299.9915771484375,464.6258239746094,284.7275695800781,1032.7412109375,63.01055145263672,301.575212640831,471.77178459313575,289.0919239602148,1049.1926838317652,63.92398527057865,292.6726217334043,463.88580109472394,284.136571061812,1029.450916358647,62.65170583053322,294.3846640205503,468.64976543038705,287.81896992368826,1043.0233814964158,63.61407155854849,3385131,2119746,9975658,1135074,2577634
2015-01-20,303.80084228515625,472.2111511230469,289.27374267578125,1028.4017333984375,66.59902954101562,305.59847937610755,475.00939948568936,290.7739781589965,1040.5552745731409,66.87632360562768,297.9371157769139,463.4463663920747,285.50041471869105,1021.3276227603762,62.83112358353451,299.99156644821005,467.1465369820314,285.50041471869105,1036.4424078752234,63.124724964336366,2891041,4252902,13104643,2058566,7450225
2015-01-21,315.8707580566406,471.7486572265625,296.5931396484375,1033.892822265625,65.13102722167969,316.726764823994,477.76140655475945,297.86606598108096,1037.2653540879082,67.2025645771997,303.4584860155985,471.00860612750813,290.0466217266811,1023.3844239925605,64.11972947929394,303.8864893992752,475.19444693480864,290.8649295299724,1037.2653540879082,67.00682696109182,5052826,3370306,22617660,2310480,5341348
2015-01-22,316.7267150878906,472.3498840332031,295.18377685546875,1033.7900390625,65.60404968261719,320.10798766514796,477.5532487287953,297.86603701691166,1036.9569275939073,67.46353686130361,309.150975226382,471.10107086024897,292.592445940597,1026.3662916452536,64.78848469391143,319.5943894825344,474.0843389317339,297.22956003862373,1035.0033151373596,66.48485887485668,2502844,3235340,12232626,2113214,6966585
2015-01-23,328.7966003417969,482.3172912597656,297.72967529296875,1029.6976318359375,67.00682067871094,331.9210595592624,484.72237972012795,302.3667619278693,1041.3987207498387,67.43091548863977,318.4387802079517,473.80688704135645,295.1837949712835,1026.6129809581878,65.37569062345688,319.25200395907854,476.3969953356219,298.45705381475767,1033.974974221692,66.38699324883994,6269436,4993956,17127278,3150380,5078703
2015-01-27,337.4424133300781,496.77105712890625,300.0936584472656,1031.11962890625,67.62665557861328,338.12723035139203,498.48236346605796,302.0030616821505,1036.456432162025,67.90394471153697,326.6565887229896,481.43846374558046,293.319859497891,1025.9682549889437,65.83241245171132,327.59821937373044,482.4097472466699,299.50265995134464,1035.3643811366649,66.81109052093056,5268554,4981200,13734088,2738736,4559087
2015-01-28,319.8083801269531,489.50946044921875,304.2306823730469,1046.594482421875,65.62036895751953,338.72638113770546,505.62831823659303,305.5036085256954,1048.7785846941067,67.51248107166133,318.0963379343154,487.9600252156776,298.41157156971826,1031.4699665765197,64.73955960477848,337.0143389450678,494.8978454794076,300.41187616739205,1031.5112178171505,67.28412382877507,4490563,5682470,19428852,3121980,3755411
2015-01-29,321.691650390625,506.46087646484375,297.32049560546875,1048.6751708984375,65.71824645996094,325.7149282835876,509.05098472368906,303.32146528649747,1058.5864317920168,66.51749940466115,310.7774199669974,490.73515062027326,295.5929508747345,1035.5906846414641,64.07080366916138,320.8356436851382,497.2104494974493,302.59405904617563,1045.93468095113,65.08210656429404,7542171,10283808,14911660,3734392,10159523
2015-01-30,319.89398193359375,498.29736328125,280.9088134765625,1022.8770141601562,65.88136291503906,325.9717101100793,506.25276434780227,300.5028619056679,1061.182594890049,66.81110933372265,313.4310623714858,492.2383449107607,279.1357900303783,1017.9110716032702,64.08711928291076,325.9717101100793,506.25276434780227,298.86624622281647,1055.289405405589,66.2239013312812,5409140,5285208,30252827,5817402,5627736
2015-02-02,307.5673522949219,500.2630615234375,279.5903625488281,1036.126220703125,64.65800476074219,319.5944025004806,505.5358160015719,283.59099958535074,1039.1140161235317,66.87634298709662,305.17049304505355,486.734312559077,277.40819941506214,1014.6347394069452,64.44595981068946,316.7267279890287,494.2040433647572,281.4088364515847,1022.8563080619331,65.08209963866233,4157252,2855176,17639807,3181802,3557339
2015-02-03,318.0536193847656,492.1689453125,273.0438537597656,1054.280029296875,68.7358169555664,320.150853379245,500.54057025254156,283.68193751568816,1057.0617707989775,69.15991174959363,308.25220845659004,488.0987914072384,271.90730753574445,1033.2006506038226,64.65799197033093,308.2949914039855,498.829263883075,283.68193751568816,1035.0756699409603,65.57142576258641,4242370,5100344,23743882,2345054,7921272
2015-02-04,315.82794189453125,493.8338928222656,266.451904296875,1036.1673583984375,70.66056823730469,322.97570845200994,499.89296608047573,275.45337321888053,1059.822413097089,71.63924644016035,312.44666883158794,489.0005685710604,265.4062872471841,1031.139640571266,68.73583145166637,321.00685233343245,491.6600656335183,275.22606395817763,1058.297627447997,69.17623863407731,5535031,3098756,21477507,2245418,7754951
